budget,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95
100,active,0.00739566053835609,0.0038087148706784247,0.0013629311125202838,0.004803867305966173,0.002226497311513386,0.0007967418304704522
200,active,0.003729336638941939,0.0014949399043752856,0.0005349573743907604,0.002698366303692141,0.0012399733489810059,0.0004437187643088533
500,active,0.0015483188765556247,0.0008107322919590471,0.0002901168247438384,0.001089338167465791,0.0006176090060204416,0.0002210085444196167
1000,active,0.0007448612544497893,0.00027578165611823766,9.86871982146997e-05,0.0005350298401958529,0.0002305553867222994,8.25031855605919e-05
2000,active,0.0004135484670689796,0.0001788214513351795,6.399043453923221e-05,0.0002995420841081005,0.0001177127519093265,4.2122967290808325e-05
5000,active,0.0001873154906847047,8.926585837010876e-05,3.194337717298834e-05,0.00014904550759427287,6.0282721818154994e-05,2.1571894957506724e-05
10000,active,9.81015124104067e-05,3.3426236516691027e-05,1.1961425118427128e-05,0.00010012375544928205,2.6553202714972366e-05,9.501941559318552e-06
25000,active,6.766702979098802e-05,3.2061906623029774e-05,1.147320593611769e-05,7.25534459777406e-05,2.4351714488655192e-05,8.714149115049728e-06
50000,active,4.81387089491913e-05,2.1462761248231944e-05,7.680350474909522e-06,5.514061894308286e-05,2.2965039537908816e-05,8.217933856754975e-06
100000,active,4.9317829623354995e-05,2.0498806017383255e-05,7.335403525660383e-06,6.05303035014293e-05,2.592209333907725e-05,9.276101969583789e-06
100,uniform,0.32875716129039206,0.1693077018009087,0.060585982991334275,0.2068824198854485,0.09203969647959816,0.03293598239256576
200,uniform,0.25546625471305884,0.10240606718201856,0.03664554050704096,0.17840913095482408,0.07387510474114906,0.026435866719125664
500,uniform,0.18818899712710851,0.09853971250530838,0.03526198325483112,0.12848220263970164,0.0693666474192743,0.024822535986295444
1000,uniform,0.13918534396702215,0.05153277128767693,0.018440765372876596,0.1005221775154798,0.04415119579824445,0.01579930250795685
2000,uniform,0.11724445777970943,0.05069738076837262,0.018141824714800633,0.08134505797020333,0.035349024405238634,0.012649485927665894
5000,uniform,0.08752894491627866,0.04171222770535888,0.01492652898483778,0.062216652881511944,0.029478554374242478,0.010548765206364592
10000,uniform,0.062114811499214426,0.021164448226611905,0.007573600531098825,0.04939956841064421,0.017886255942105016,0.0064005144878838
25000,uniform,0.055305575190358724,0.026204817811028434,0.009377273622536769,0.03777982309396914,0.020133955023792883,0.007204843274372873
50000,uniform,0.04252342090688225,0.01895917132604308,0.006784452327160898,0.030632479482921957,0.014763532051594959,0.0052830620949646
100000,uniform,0.04369055576928759,0.01815984673993588,0.006498417697529029,0.032774879094864665,0.014843431986594964,0.005311653919503164
