seed,budget,method,dH,R_pi
0,100,active,0.014789831497473174,0.009191485127580052
0,100,uniform,0.6574481067452154,0.293542950603541
0,200,active,0.003439836864364172,0.002444014651650176
0,200,uniform,0.23563500044135158,0.16713826406552199
0,500,active,0.0032123099529333884,0.0026989881903719502
0,500,uniform,0.3904372656417959,0.31181398125633547
0,1000,active,0.0009989386380351711,0.0005286036778378244
0,1000,uniform,0.18666243828131543,0.10283518137325016
0,2000,active,0.0004030657051503509,0.00030472447310651054
0,2000,uniform,0.11427250688386281,0.08354425656556862
0,5000,active,0.0002803195161904179,0.00012437733596184103
0,5000,uniform,0.13098794660225788,0.05795361969141983
0,10000,active,6.61540415533568e-05,6.840753477901257e-05
0,10000,uniform,0.041886671469535876,0.03355078637570662
0,25000,active,8.606304465378495e-05,9.328300197138078e-05
0,25000,uniform,0.0703409947490311,0.04410420333206883
0,50000,active,6.234976287015914e-05,7.462640157710462e-05
0,50000,uniform,0.05507678265258352,0.03753707999328362
0,100000,active,4.30815851947262e-05,4.353206758664436e-05
0,100000,uniform,0.038165880675520826,0.02913539094906126
1,100,active,0.005602731828721522,0.004409176559847265
1,100,uniform,0.2490566193417057,0.20854969807401696
1,200,active,0.002054489740622632,0.0016417808346963017
1,200,uniform,0.14073623547488828,0.11040976113332629
1,500,active,0.0005185326893923786,0.00045397727626071975
1,500,uniform,0.06302457993113626,0.05451458635207492
1,1000,active,0.0004645612345047638,0.0004291018090683516
1,1000,uniform,0.086808267757261,0.07565873346558791
1,2000,active,0.00032877627739068743,0.0002922867395103264
1,2000,uniform,0.09321083123994582,0.08016119302740654
1,5000,active,0.00014857284127075404,0.00011815846916374898
1,5000,uniform,0.06942524610273432,0.04916014203891767
1,10000,active,8.50478995176923e-05,0.00012437733596184103
1,10000,uniform,0.053849671805710334,0.062114041579343415
1,25000,active,9.206112579278336e-05,8.706413517328872e-05
1,25000,uniform,0.07524334273826963,0.046821848122835054
1,50000,active,4.6311056547287954e-05,5.596980118282847e-05
1,50000,uniform,0.04090896065120029,0.029191360750244092
1,100000,active,7.44534794612714e-05,5.596980118282847e-05
1,100000,uniform,0.06595817215529653,0.03484431066970976
2,100,active,0.003676143304006778,0.002070882643764653
2,100,uniform,0.16341453624784674,0.0961498995653012
2,200,active,0.006484795472054609,0.006007425326956922
2,200,uniform,0.44422013141082534,0.31728036517185837
2,500,active,0.0014103955276114077,0.0007960149501557827
2,500,uniform,0.1714252302369356,0.10649187505052829
2,1000,active,0.0005740967007410933,0.00029850560630841847
2,1000,uniform,0.10727614879365235,0.05365016386714013
2,2000,active,0.00034937367591515224,0.00031716220670269463
2,2000,uniform,0.09905036641893558,0.07749329917102506
2,5000,active,0.00029123181604148035,0.0001679094035484854
2,5000,uniform,0.1360870555391769,0.0748751562490283
2,10000,active,6.725313872023132e-05,8.706413517328872e-05
2,10000,uniform,0.04258258544336432,0.04552210496203382
2,25000,active,6.381874277491123e-05,8.706413517328872e-05
2,25000,uniform,0.052160295612100616,0.038115434605506184
2,50000,active,6.59805502789387e-05,7.462640157710462e-05
2,50000,uniform,0.058284045675974505,0.05088898700878726
2,100000,active,4.17528458789701e-05,5.596980118282847e-05
2,100000,uniform,0.036988753465663694,0.030155285103948357
3,100,active,0.005041362055990358,0.004875591569704169
3,100,uniform,0.22410221101533814,0.2214973787476446
3,200,active,0.0047923672936750344,0.004682806698963315
3,200,uniform,0.3282857629264243,0.3166398218916549
3,500,active,0.0021586352699170547,0.0017288449698695905
3,500,uniform,0.262369343137248,0.21902226976200398
3,1000,active,0.00039743925923235073,0.00041666407547216744
3,1000,uniform,0.07426580409678094,0.07200825865510786
3,2000,active,0.00012274248673203175,0.00012437733596184103
3,2000,uniform,0.034798524113583314,0.018743664529449443
3,5000,active,0.00031322649857898344,0.00026119240551986616
3,5000,uniform,0.14636474986788095,0.12452036989819715
3,10000,active,0.00010824710654359915,8.706413517328872e-05
3,10000,uniform,0.06853868460417001,0.03775474033121685
3,25000,active,7.474814509265959e-05,8.706413517328872e-05
3,25000,uniform,0.06109310799557744,0.04661040665169993
3,50000,active,4.695155819919658e-05,5.596980118282847e-05
3,50000,uniform,0.04147474901427055,0.030205036038333095
3,100000,active,1.8699863955105867e-05,1.8656600394276155e-05
3,100000,uniform,0.01656616796089814,0.008619349382155583
4,100,active,0.008281262752891372,0.0041479841543273985
4,100,uniform,0.36812458068087467,0.20832581886928564
4,200,active,0.003877352146200108,0.003495003140527733
4,200,uniform,0.26560558267928247,0.2503840150247822
4,500,active,0.0007575625062896281,0.0007338262821748621
4,500,uniform,0.09207723969425195,0.08761139545152083
4,1000,active,0.000767620161054812,0.0006281055466072972
4,1000,uniform,0.14343809067013047,0.11936492932257883
4,2000,active,0.0001889821445955469,0.00010572073556756488
4,2000,uniform,0.05357802249925142,0.03164781313549045
4,5000,active,0.00012036400772670869,9.328300197138078e-05
4,5000,uniform,0.05624379790323806,0.03812787233910237
4,10000,active,6.801073648385336e-05,4.353206758664436e-05
4,10000,uniform,0.0430622726685718,0.021716282858937445
4,25000,active,2.5456693660573515e-05,3.109433399046026e-05
4,25000,uniform,0.020806249213146485,0.016162834808241242
4,50000,active,6.650710707012397e-05,7.462640157710462e-05
4,50000,uniform,0.058749180627770535,0.04345744118506726
4,100000,active,3.120007684526138e-05,3.731320078855231e-05
4,100000,uniform,0.027640078807666855,0.02485681059197393
5,100,active,0.009059709996749973,0.005360663179955348
5,100,uniform,0.40272867111715094,0.21940162063668758
5,200,active,0.003228877910845765,0.001915410973812352
5,200,uniform,0.2211839334095429,0.13070192349550064
5,500,active,0.0008176389006670667,0.0007400451489729541
5,500,uniform,0.0993791699232851,0.0855218562073619
5,1000,active,0.00041736804451348447,0.00024253580512559003
5,1000,uniform,0.07798971216372289,0.04371863359058712
5,2000,active,0.00036314367045212764,0.00019900373753894567
5,2000,uniform,0.10295427532364082,0.053600412932755394
5,5000,active,6.566830180988054e-05,6.218866798092052e-05
5,5000,uniform,0.030685541013500656,0.016150397074645058
5,10000,active,8.185099125337936e-05,6.840753477901257e-05
5,10000,uniform,0.05182548941200692,0.02491899925995485
5,25000,active,5.7196051239383205e-05,8.706413517328872e-05
5,25000,uniform,0.04674744143759911,0.042002226354313714
5,50000,active,1.108894175223113e-05,1.2437733596184104e-05
5,50000,uniform,0.009795437971556901,0.007288511887363885
5,100000,active,5.901749120602873e-05,4.9750934384736417e-05
5,100000,uniform,0.05228346443044446,0.028625443871617712
6,100,active,0.004377872282164949,0.0031778409338250385
6,100,uniform,0.1946082917830025,0.13725660910068968
6,200,active,0.0022356270565078687,0.0016169053675039334
6,200,uniform,0.1531444667926987,0.11551545077455987
6,500,active,0.0008989435554199801,0.0005596980118282846
6,500,uniform,0.10926126958078551,0.06825828197585836
