method,confidence,epsilon,N_Gamma
active,0.8,0.2,99.05515602720307
active,0.8,0.1,99.8673562052976
active,0.8,0.05,98.11823784943019
active,0.8,0.02,99.77006548364625
active,0.8,0.01,100.50406108640888
active,0.8,0.005,184.96242457982973
active,0.9,0.2,98.00045113785399
active,0.9,0.1,101.718323629713
active,0.9,0.05,98.54267004834566
active,0.9,0.02,98.12510656522942
active,0.9,0.01,139.3053576695579
active,0.9,0.005,248.40198924681286
active,0.95,0.2,98.31753806954448
active,0.95,0.1,101.9998353148608
active,0.95,0.05,99.47353641726839
active,0.95,0.02,98.03768242904589
active,0.95,0.01,164.86740784930518
active,0.95,0.005,347.96707603580666
uniform,0.8,0.2,904.0076570558854
uniform,0.8,0.1,7563.5040527713545
uniform,0.8,0.05,
uniform,0.8,0.02,
uniform,0.8,0.01,
uniform,0.8,0.005,
uniform,0.9,0.2,1539.7897624597135
uniform,0.9,0.1,9570.817810866998
uniform,0.9,0.05,
uniform,0.9,0.02,
uniform,0.9,0.01,
uniform,0.9,0.005,
uniform,0.95,0.2,3082.4714835169257
uniform,0.95,0.1,16285.690891356897
uniform,0.95,0.05,
uniform,0.95,0.02,
uniform,0.95,0.01,
uniform,0.95,0.005,
