seed,budget,method,dH,R_pi,R_pi_lip
0,100,active,0.014789831497473174,0.009191485127580052,0.014519546434992401
0,100,uniform,0.6574481067452154,0.293542950603541,0.5556080451974408
0,200,active,0.003439836864364172,0.002444014651650176,0.005344557827247153
0,200,uniform,0.23563500044135158,0.16713826406552199,0.1083498048439721
0,500,active,0.0032123099529333884,0.0026989881903719502,0.004061905204754369
0,500,uniform,0.3904372656417959,0.31181398125633547,0.39612084611994597
0,1000,active,0.0009989386380351711,0.0005286036778378244,0.00029461448654505626
0,1000,uniform,0.18666243828131543,0.10283518137325016,0.15883246164573145
0,2000,active,0.0004030657051503509,0.00030472447310651054,0.0003825361634185287
0,2000,uniform,0.11427250688386281,0.08354425656556862,0.04969606625701933
0,5000,active,0.0002803195161904179,0.00012437733596184103,9.977241714749028e-05
0,5000,uniform,0.13098794660225788,0.05795361969141983,0.03849220557213287
0,10000,active,6.61540415533568e-05,6.840753477901257e-05,7.467097152923709e-05
0,10000,uniform,0.041886671469535876,0.03355078637570662,0.02500267549630342
0,25000,active,8.606304465378495e-05,9.328300197138078e-05,9.425720178273373e-05
0,25000,uniform,0.0703409947490311,0.04410420333206883,0.031841967374505065
0,50000,active,6.234976287015914e-05,7.462640157710462e-05,8.442064353705972e-05
0,50000,uniform,0.05507678265258352,0.03753707999328362,0.09690483557280354
0,100000,active,4.30815851947262e-05,4.353206758664436e-05,6.940229627297048e-05
0,100000,uniform,0.038165880675520826,0.02913539094906126,0.012397618609115466
1,100,active,0.005602731828721522,0.004409176559847265,0.002057226697183811
1,100,uniform,0.2490566193417057,0.20854969807401696,0.14619672987248383
1,200,active,0.002054489740622632,0.0016417808346963017,0.0015866668129154876
1,200,uniform,0.14073623547488828,0.11040976113332629,0.18996776362445797
1,500,active,0.0005185326893923786,0.00045397727626071975,0.0004890937622089434
1,500,uniform,0.06302457993113626,0.05451458635207492,0.036508097188076294
1,1000,active,0.0004645612345047638,0.0004291018090683516,0.0006892741534198415
1,1000,uniform,0.086808267757261,0.07565873346558791,0.08365887687649869
1,2000,active,0.00032877627739068743,0.0002922867395103264,0.0002370419628681652
1,2000,uniform,0.09321083123994582,0.08016119302740654,0.2218091264389763
1,5000,active,0.00014857284127075404,0.00011815846916374898,0.00014515297516381307
1,5000,uniform,0.06942524610273432,0.04916014203891767,0.026545424324038492
1,10000,active,8.50478995176923e-05,0.00012437733596184103,0.0001265258254037538
1,10000,uniform,0.053849671805710334,0.062114041579343415,0.10696257830253003
1,25000,active,9.206112579278336e-05,8.706413517328872e-05,0.00016064241049160426
1,25000,uniform,0.07524334273826963,0.046821848122835054,0.06390642113439039
1,50000,active,4.6311056547287954e-05,5.596980118282847e-05,8.499024799624181e-05
1,50000,uniform,0.04090896065120029,0.029191360750244092,0.03556890624890453
1,100000,active,7.44534794612714e-05,5.596980118282847e-05,2.447407164909928e-05
1,100000,uniform,0.06595817215529653,0.03484431066970976,0.0413459622138044
2,100,active,0.003676143304006778,0.002070882643764653,0.006502853360925208
2,100,uniform,0.16341453624784674,0.0961498995653012,0.0894196359523281
2,200,active,0.006484795472054609,0.006007425326956922,0.007119625218750219
2,200,uniform,0.44422013141082534,0.31728036517185837,0.23856458149649518
2,500,active,0.0014103955276114077,0.0007960149501557827,0.0008699204735754651
2,500,uniform,0.1714252302369356,0.10649187505052829,0.030755492670156422
2,1000,active,0.0005740967007410933,0.00029850560630841847,0.000444470034494561
2,1000,uniform,0.10727614879365235,0.05365016386714013,0.13523158400126137
2,2000,active,0.00034937367591515224,0.00031716220670269463,0.0001591988846257742
2,2000,uniform,0.09905036641893558,0.07749329917102506,0.09541722082959027
2,5000,active,0.00029123181604148035,0.0001679094035484854,9.469773602046202e-05
2,5000,uniform,0.1360870555391769,0.0748751562490283,0.06547176220212239
2,10000,active,6.725313872023132e-05,8.706413517328872e-05,0.00035445467092032915
2,10000,uniform,0.04258258544336432,0.04552210496203382,0.05266164207828688
2,25000,active,6.381874277491123e-05,8.706413517328872e-05,3.92092132335241e-05
2,25000,uniform,0.052160295612100616,0.038115434605506184,0.04004448243625845
2,50000,active,6.59805502789387e-05,7.462640157710462e-05,0.00010649619477197816
2,50000,uniform,0.058284045675974505,0.05088898700878726,0.031670390172709666
2,100000,active,4.17528458789701e-05,5.596980118282847e-05,3.759360971467755e-05
2,100000,uniform,0.036988753465663694,0.030155285103948357,0.03185558134600742
3,100,active,0.005041362055990358,0.004875591569704169,0.005148363804308209
3,100,uniform,0.22410221101533814,0.2214973787476446,0.15196814869909986
3,200,active,0.0047923672936750344,0.004682806698963315,0.004645854989124955
3,200,uniform,0.3282857629264243,0.3166398218916549,0.4024393877221662
3,500,active,0.0021586352699170547,0.0017288449698695905,0.001753593114012644
3,500,uniform,0.262369343137248,0.21902226976200398,0.2025217767297995
3,1000,active,0.00039743925923235073,0.00041666407547216744,0.00048254245664154617
3,1000,uniform,0.07426580409678094,0.07200825865510786,0.06185908010595279
3,2000,active,0.00012274248673203175,0.00012437733596184103,6.950543009593573e-05
3,2000,uniform,0.034798524113583314,0.018743664529449443,0.030910663364261192
3,5000,active,0.00031322649857898344,0.00026119240551986616,0.000681168245255592
3,5000,uniform,0.14636474986788095,0.12452036989819715,0.2810009865678781
3,10000,active,0.00010824710654359915,8.706413517328872e-05,0.00010256722725772086
3,10000,uniform,0.06853868460417001,0.03775474033121685,0.037497769307259815
3,25000,active,7.474814509265959e-05,8.706413517328872e-05,0.0001309041511961209
3,25000,uniform,0.06109310799557744,0.04661040665169993,0.03138282165713806
3,50000,active,4.695155819919658e-05,5.596980118282847e-05,9.332740089723126e-05
3,50000,uniform,0.04147474901427055,0.030205036038333095,0.03601937900252038
3,100000,active,1.8699863955105867e-05,1.8656600394276155e-05,1.6248751038117945e-05
3,100000,uniform,0.01656616796089814,0.008619349382155583,0.018805644744197658
4,100,active,0.008281262752891372,0.0041479841543273985,0.0032334069820797885
4,100,uniform,0.36812458068087467,0.20832581886928564,0.1304888206379804
4,200,active,0.003877352146200108,0.003495003140527733,0.006334623082343242
4,200,uniform,0.26560558267928247,0.2503840150247822,0.34385000505026575
4,500,active,0.0007575625062896281,0.0007338262821748621,0.0006882006246178016
4,500,uniform,0.09207723969425195,0.08761139545152083,0.10939368866719235
4,1000,active,0.000767620161054812,0.0006281055466072972,0.0004190007119320602
4,1000,uniform,0.14343809067013047,0.11936492932257883,0.149217659846109
4,2000,active,0.0001889821445955469,0.00010572073556756488,0.00014715974502386867
4,2000,uniform,0.05357802249925142,0.03164781313549045,0.015953827855115107
4,5000,active,0.00012036400772670869,9.328300197138078e-05,0.00011707566071450944
4,5000,uniform,0.05624379790323806,0.03812787233910237,0.036907528498766856
4,10000,active,6.801073648385336e-05,4.353206758664436e-05,3.937198269627181e-05
4,10000,uniform,0.0430622726685718,0.021716282858937445,0.022333410827719065
4,25000,active,2.5456693660573515e-05,3.109433399046026e-05,2.2766220756818606e-05
4,25000,uniform,0.020806249213146485,0.016162834808241242,0.021982923368187024
4,50000,active,6.650710707012397e-05,7.462640157710462e-05,0.00012763538146164945
4,50000,uniform,0.058749180627770535,0.04345744118506726,0.02495176719142069
4,100000,active,3.120007684526138e-05,3.731320078855231e-05,4.742984025568723e-05
4,100000,uniform,0.027640078807666855,0.02485681059197393,0.017935849454642768
5,100,active,0.009059709996749973,0.005360663179955348,0.0051653852990378
5,100,uniform,0.40272867111715094,0.21940162063668758,0.2865088163166012
