seed,family,R_pi
0,structured,4.353206758664436e-05
0,piecewise_linear,0.0006156678130111132
0,random_monotone,0.004216391689106411
0,oscillatory,0.00981959067418735
0,checkerboard,0.7553870933638472
0,random_labels,0.7779118289065367
1,structured,5.596980118282847e-05
1,piecewise_linear,0.0007400451489729541
1,random_monotone,0.00475743310054042
1,oscillatory,0.011113114968190497
1,checkerboard,0.7553870933638472
1,random_labels,0.7435277143798857
2,structured,5.596980118282847e-05
2,piecewise_linear,0.0006654187473958495
2,random_monotone,0.004340769025068252
2,oscillatory,0.010167847214880505
2,checkerboard,0.7553870933638472
2,random_labels,0.7737203126846226
3,structured,1.8656600394276155e-05
3,piecewise_linear,0.00018656600394276155
3,random_monotone,0.0011753658248393978
3,oscillatory,0.002891773061112804
3,checkerboard,0.7553870933638472
3,random_labels,0.7568734025285913
4,structured,3.731320078855231e-05
4,piecewise_linear,0.0005783546122225608
4,random_monotone,0.003582067275701022
4,oscillatory,0.00833328150944335
4,checkerboard,0.7553870933638472
4,random_labels,0.7424829447578062
5,structured,4.9750934384736417e-05
5,piecewise_linear,0.0006343244134053893
5,random_monotone,0.004017387951567465
5,oscillatory,0.00975740200620643
5,checkerboard,0.7553870933638472
5,random_labels,0.7820162809932774
6,structured,8.084526837519668e-05
6,piecewise_linear,0.0008644224849347952
6,random_monotone,0.005522353716705742
6,oscillatory,0.013183997611955149
6,checkerboard,0.7553870933638472
6,random_labels,0.7504928451937488
7,structured,0.00010572073556756488
7,piecewise_linear,0.0013805884291764356
7,random_monotone,0.00863800598254986
7,oscillatory,0.020565792501290415
7,checkerboard,0.7553870933638472
7,random_labels,0.7566184289898694
8,structured,8.706413517328872e-05
8,piecewise_linear,0.0011504903576470295
8,random_monotone,0.007313387354556253
8,oscillatory,0.017331981766282548
8,checkerboard,0.7553870933638472
8,random_labels,0.7584903078960952
9,structured,8.084526837519668e-05
9,piecewise_linear,0.0008271092841462429
9,random_monotone,0.005441508448330545
9,oscillatory,0.013090714609983768
9,checkerboard,0.7553870933638472
9,random_labels,0.7546159538808839
10,structured,2.4875467192368208e-05
10,piecewise_linear,0.00041666407547216744
10,random_monotone,0.002518641053227281
10,oscillatory,0.005895485724591265
10,checkerboard,0.7553870933638472
10,random_labels,0.767532540220521
11,structured,0.00010572073556756488
11,piecewise_linear,0.0011753658248393978
11,random_monotone,0.007649206161653223
11,oscillatory,0.01818396651762116
11,checkerboard,0.7553870933638472
11,random_labels,0.7477876381365788
12,structured,6.840753477901257e-05
12,piecewise_linear,0.0008022338169538746
12,random_monotone,0.0051181273748297585
12,oscillatory,0.012126790256279501
12,checkerboard,0.7553870933638472
12,random_labels,0.7747961766406926
13,structured,7.462640157710462e-05
13,piecewise_linear,0.000963924353704268
13,random_monotone,0.006144240396514947
13,oscillatory,0.01442777097157356
13,checkerboard,0.7553870933638472
13,random_labels,0.7469045590512496
14,structured,3.731320078855231e-05
14,piecewise_linear,0.0007027319481844018
14,random_monotone,0.004228829422702595
14,oscillatory,0.010024813278524388
14,checkerboard,0.7553870933638472
14,random_labels,0.7543796369425563
15,structured,5.596980118282847e-05
15,piecewise_linear,0.0006840753477901257
15,random_monotone,0.004141765287529306
15,oscillatory,0.009856903874975903
15,checkerboard,0.7553870933638472
15,random_labels,0.7487515624902831
16,structured,7.462640157710462e-05
16,piecewise_linear,0.0007524828825691383
16,random_monotone,0.004782308567732788
16,oscillatory,0.011082020634200036
16,checkerboard,0.7553870933638472
16,random_labels,0.7435836841810686
17,structured,0.00011815846916374898
17,piecewise_linear,0.0015360600991287368
17,random_monotone,0.009838247274581626
17,oscillatory,0.02340159576122039
17,checkerboard,0.7553870933638472
