x,z,method
0.7111139022616657,-0.4786187933727234,active boundary sampling
0.05629783366968444,-0.05598426883636344,active boundary sampling
0.22394735705224633,-0.731849072593745,active boundary sampling
0.6190040688905447,-0.42006819169999643,active boundary sampling
0.9993621027636999,-0.5353402407887622,active boundary sampling
-0.4761492941205496,0.9000020836241855,active boundary sampling
-0.03941422808043926,-0.5256843084932583,active boundary sampling
-0.27798132089266936,0.7522228749892674,active boundary sampling
0.6879576323908876,-1.0,active boundary sampling
0.19322137007380946,-0.723798772005093,active boundary sampling
-0.9946995231946254,1.0,active boundary sampling
0.4104717535084663,-0.8643856850687952,active boundary sampling
0.09425752765502193,-0.08459229419505093,active boundary sampling
0.6389436029395679,0.10718417614876494,active boundary sampling
0.4112587371122087,-0.3241523062306405,active boundary sampling
-0.6173797874277631,0.44437748189663184,active boundary sampling
0.2342570046918786,-0.7767680163407737,active boundary sampling
-0.11775810815127796,0.08301122489128676,active boundary sampling
0.8289546388108346,-1.0,active boundary sampling
-0.12227912728375556,0.6209169590268128,active boundary sampling
-0.21557471033919584,0.12846226355769624,active boundary sampling
-0.30068824630770674,0.777492974214545,active boundary sampling
-0.48224531866464493,0.8928224309055407,active boundary sampling
0.840143950077398,-0.5092242641810376,active boundary sampling
-0.1445481898326002,-0.44360230168309034,active boundary sampling
-0.9352551397445401,1.0,active boundary sampling
0.0004408843994900824,-0.006926177447089236,active boundary sampling
0.8597486388178919,0.07479200870311382,active boundary sampling
-0.4456672959753989,-0.2021503928755796,active boundary sampling
0.9227662397338354,0.06273638314848075,active boundary sampling
-0.42090949382024956,0.8338309156127047,active boundary sampling
-0.6995993864528545,0.48025122273507814,active boundary sampling
-0.57116198035461,0.9957246021620036,active boundary sampling
-0.9700265631715088,1.0,active boundary sampling
0.14820954770580808,0.40214873140582497,active boundary sampling
0.12495821432568999,-0.1306869989460378,active boundary sampling
0.2621935744009489,0.2932484645654953,active boundary sampling
0.5314758044199348,-0.3739010373071295,active boundary sampling
0.7270715246689525,0.10008093334183327,active boundary sampling
0.12476188084839346,-0.6604291902441108,active boundary sampling
0.9985977224151135,-1.0,active boundary sampling
-0.8446249067427543,0.5281758933753501,active boundary sampling
0.7378873744644723,-1.0,active boundary sampling
0.8278001764035137,0.081233789124542,active boundary sampling
-0.6837808795797551,1.0,active boundary sampling
-0.7092425058244101,-0.11738833040878936,active boundary sampling
-0.3319940558207859,0.2470482677495377,active boundary sampling
-0.14168441593323444,0.6104461842437783,active boundary sampling
-0.527460010254593,-0.16737465067997115,active boundary sampling
-0.34692639308491247,-0.30439347376784204,active boundary sampling
-0.6282439351645692,-0.11781866816038962,active boundary sampling
-0.8137229381197633,1.0,active boundary sampling
0.45659876750933903,0.2363682687150628,active boundary sampling
0.9233567577118134,-0.5432705912197188,active boundary sampling
-0.24017877728659753,0.7078267487109419,active boundary sampling
-0.7979538717177981,-0.0350975703017737,active boundary sampling
-0.5791997730703025,0.42486163276854977,active boundary sampling
-0.8271972762473405,0.5261843564458416,active boundary sampling
0.05717123832629234,0.45858646164374156,active boundary sampling
-0.7744505406309266,1.0,active boundary sampling
-0.8708401208228431,1.0,active boundary sampling
0.9503935566479795,-0.5569811144372431,active boundary sampling
-0.363977722479768,0.8269889992272537,active boundary sampling
-0.6299045451014331,-0.1164119883092532,active boundary sampling
-0.9730170303638059,1.0,active boundary sampling
-0.8258955875072711,-0.037513995171202894,active boundary sampling
0.6985076546459785,-1.0,active boundary sampling
0.05198654764402577,-0.07399031915591826,active boundary sampling
-0.4951082860205842,-0.18562085542347367,active boundary sampling
0.621842315341842,0.15474191814235125,active boundary sampling
0.1914866230491743,0.3638728552215828,active boundary sampling
0.48597386480133964,-0.34704624223790853,active boundary sampling
0.6048905327731982,-0.42182290786972115,active boundary sampling
-0.4342449562147548,0.3131375301142206,active boundary sampling
-0.12105139577391033,0.06583736217993989,active boundary sampling
0.7112008676970716,-1.0,active boundary sampling
0.40326723374845197,-0.3164956649913629,active boundary sampling
0.12059968943897292,-0.6895879936695019,active boundary sampling
-0.4609973632297859,-0.22392169906025117,active boundary sampling
0.9468748627674479,-0.5442676500185154,active boundary sampling
-0.8780015984021439,0.5680996474709361,active boundary sampling
-0.7455524422600794,0.5139572954451962,active boundary sampling
0.8309059292069363,-0.485630176536919,active boundary sampling
-0.420319046413139,0.32559950053220443,active boundary sampling
-0.10862605094479005,-0.4670330085583185,active boundary sampling
-0.039577881887019606,0.5324444309661154,active boundary sampling
0.2477314093538181,0.32934040047707064,active boundary sampling
-0.08664456681519761,0.5699082519056775,active boundary sampling
0.38156343674746784,0.23356339301649584,active boundary sampling
0.7507062672095204,0.08557571089320837,active boundary sampling
-0.8956093529682692,0.5789015325367459,active boundary sampling
-0.17424129866920968,0.6783238676793509,active boundary sampling
0.2642417334236855,0.3207749530926777,active boundary sampling
-0.21991448398729885,-0.37277644522896186,active boundary sampling
-0.5759982722439028,-0.14760058901215098,active boundary sampling
0.3410077018790765,0.27320462489038977,active boundary sampling
-0.6251274546010763,-0.12280049773846322,active boundary sampling
-0.5884962092085289,0.9596048403489865,active boundary sampling
-0.16909849534904464,0.10253702957590291,active boundary sampling
0.17894651258228045,-0.6777486288875846,active boundary sampling
-0.37250613735721294,0.29014448988674013,active boundary sampling
-0.7083940397404995,-0.07252635448525548,active boundary sampling
-0.21627853878448233,-0.40551771159759975,active boundary sampling
0.0951741991228674,-0.10731136384207073,active boundary sampling
-0.4016558716596388,0.8308980261798882,active boundary sampling
0.5607832663724284,-0.9718105842259714,active boundary sampling
0.8161447859644007,-0.48820256163056447,active boundary sampling
-0.44934204568740754,0.3466126314683122,active boundary sampling
0.6367729048323723,-0.44999075004478,active boundary sampling
-0.4382239185043957,-0.24791910789442814,active boundary sampling
0.1527059350810911,-0.6777430860034603,active boundary sampling
-0.8233644299285188,-0.04904425157405702,active boundary sampling
0.8263823919445323,-0.4993679676993855,active boundary sampling
-0.933901466364452,1.0,active boundary sampling
0.7689881359362274,0.10100660108460938,active boundary sampling
0.33934860026751545,-0.8321613438037143,active boundary sampling
-0.711601463187499,1.0,active boundary sampling
-0.2610208276389159,0.21136064231532245,active boundary sampling
-0.1756848477204911,-0.40529276741295983,active boundary sampling
0.23643927738496306,0.34767362580961897,active boundary sampling
-0.98663382494461,1.0,active boundary sampling
-0.6091303308966582,-0.1208622016101087,active boundary sampling
0.7756082525493004,0.08453172286155779,active boundary sampling
