budget,boundary,dH_j_mean,dH_j_sd,dH_j_ci95
100,B0,0.004611310110605873,0.0006777956212219989,0.00024254604806605716
200,B0,0.0022745700532312654,0.00045364779482418016,0.00016233577851995016
500,B0,0.000884216856546046,0.00015950027487684435,5.707644033917049e-05
1000,B0,0.0004226269310416737,6.902862884589498e-05,2.4701577593265008e-05
2000,B0,0.00023888901503316132,4.073727077337571e-05,1.4577645127398884e-05
5000,B0,0.00010590742061349212,1.758079949441256e-05,6.2912083018825824e-06
10000,B0,6.237727650824882e-05,1.1391533255907892e-05,4.076407822836268e-06
25000,B0,3.648442393344242e-05,6.990375737584655e-06,2.5014738315824602e-06
50000,B0,2.767969815422296e-05,4.209304025053986e-06,1.506280100400648e-06
100000,B0,2.393404333698882e-05,3.2634874494973433e-06,1.1678239855868017e-06
100,B1,0.004212516125648938,0.0006892480457908826,0.0002466442455653998
200,B1,0.0019536016548842776,0.00047608768052518957,0.0001703657884896534
500,B1,0.0008159049591416284,0.00013100722143999618,4.6880332114123426e-05
1000,B1,0.0004301996703049403,7.959436195179603e-05,2.8482476627603345e-05
2000,B1,0.00020407749115927343,3.5227430326495954e-05,1.260597404540543e-05
5000,B1,9.357543661915638e-05,1.7108040073753126e-05,6.122033515889996e-06
10000,B1,5.400257829947327e-05,9.584211585929363e-06,3.4296660692570385e-06
25000,B1,3.303750941809005e-05,5.776835157142198e-06,2.0672139120163794e-06
50000,B1,2.6652608362883654e-05,5.02286916603716e-06,1.7974106471486665e-06
100000,B1,2.2136422360288602e-05,5.162009396602724e-06,1.8472013392009897e-06
100,B2,0.003890755721843629,0.0006744971681989686,0.00024136571181067508
200,B2,0.0018033898086680688,0.000256813159536589,9.189940888767701e-05
500,B2,0.0006856945056939682,9.575898708420417e-05,3.426691344244479e-05
1000,B2,0.00035854464804791744,4.269698936800188e-05,1.5278921420083078e-05
2000,B2,0.00018179786163709255,2.894585133542242e-05,1.0358139872099905e-05
5000,B2,8.224561240787854e-05,1.232703483064039e-05,4.411172762010497e-06
10000,B2,4.7680406542186794e-05,9.196659887646392e-06,3.2909824751223454e-06
25000,B2,3.058173620174039e-05,4.112588215430215e-06,1.471670792409749e-06
50000,B2,2.5426742649342247e-05,4.522718273851159e-06,1.6184339489550167e-06
100000,B2,2.2598052223436746e-05,3.423477609760159e-06,1.2250757291599447e-06
