seed,budget,boundary,dH_j
0,100,B0,0.0037947806407938795
0,100,B1,0.005807297787863905
0,100,B2,0.003322317137974696
0,200,B0,0.0027094304087154557
0,200,B1,0.0022308425433172703
0,200,B2,0.0019199719498695425
0,500,B0,0.0008091896833049558
0,500,B1,0.0009534382766919698
0,500,B2,0.0005594509922845824
0,1000,B0,0.00029088135507996624
0,1000,B1,0.0003132440082654769
0,1000,B2,0.00039511485848741295
0,2000,B0,0.0002023722484643199
0,2000,B1,0.0002510080979545064
0,2000,B2,0.00019207091396913255
0,5000,B0,0.00011887505845949829
0,5000,B1,0.00011650507803223452
0,5000,B2,7.982701284670115e-05
0,10000,B0,6.917346440884836e-05
0,10000,B1,5.1386410176728146e-05
0,10000,B2,4.715784641092146e-05
0,25000,B0,4.579572117387689e-05
0,25000,B1,4.2055087368524995e-05
0,25000,B2,3.583317621641937e-05
0,50000,B0,2.918270534967284e-05
0,50000,B1,2.6802281092433613e-05
0,50000,B2,3.211474260920163e-05
0,100000,B0,1.8781924744917673e-05
0,100000,B1,2.1583674243034e-05
0,100000,B2,2.143862379687797e-05
1,100,B0,0.0050449769996081285
1,100,B1,0.004422172885351504
1,100,B2,0.003128932584440489
1,200,B0,0.0016740959658485218
1,200,B1,0.001557262932335457
1,200,B2,0.0016724867554599285
1,500,B0,0.0006994085950218157
1,500,B1,0.0006107020625423218
1,500,B2,0.0007872523560659254
1,1000,B0,0.00047409641457983126
1,1000,B1,0.00040223905526870154
1,1000,B2,0.00034506168791397033
1,2000,B0,0.0002758239403944729
1,2000,B1,0.00018523376543476142
1,2000,B2,0.00018356269138864416
1,5000,B0,0.00011193483057256232
1,5000,B1,5.851577893072403e-05
1,5000,B2,9.574449820883192e-05
1,10000,B0,3.7134779760492436e-05
1,10000,B1,4.42232694065953e-05
1,10000,B2,3.586289482349308e-05
1,25000,B0,3.223481210554144e-05
1,25000,B1,4.05296648848262e-05
1,25000,B2,2.653845090720731e-05
1,50000,B0,2.807420332381658e-05
1,50000,B1,3.344927517423019e-05
1,50000,B2,2.281919226923295e-05
1,100000,B0,1.7451313815619198e-05
1,100000,B1,2.0424475334296612e-05
1,100000,B2,2.3423851734607505e-05
2,100,B0,0.0039209417960408156
2,100,B1,0.003523769924456446
2,100,B2,0.004693658431477527
2,200,B0,0.002264806594644407
2,200,B1,0.0024916017954985025
2,200,B2,0.0014541022808582096
2,500,B0,0.0006876931119213386
2,500,B1,0.0007645529394179022
2,500,B2,0.0008281581730144025
2,1000,B0,0.000569411509895192
2,1000,B1,0.000363466383961086
2,1000,B2,0.00030119720530144686
2,2000,B0,0.00032347530381377556
2,2000,B1,0.00020887347273448336
2,2000,B2,0.00021229046787897869
2,5000,B0,0.0001096777128888744
2,5000,B1,8.220266981311114e-05
2,5000,B2,8.091672001252944e-05
