seed,amplitude,C_D,relative_DCR,MDL_gain
0,0.0,19.1168168883596,1.00182263900202,10.398112279124716
0,0.002,19.2571745422465,1.0003636344581333,10.39475676654705
0,0.005,19.23915189466617,1.0010617017265269,10.340951955348144
0,0.01,19.234411720694897,1.0002791353822567,10.419401792782159
0,0.02,19.20612029868345,0.9996786330107205,10.40616078275754
0,0.035,19.213769961706866,0.9967904172592843,10.406585115075561
0,0.05,19.310356072916278,0.993678185693614,10.380682732227966
0,0.075,19.363113371400004,0.9899664032542567,10.407508369220725
0,0.1,19.500108186049548,0.9798215792559246,10.407673974285135
1,0.0,19.180452464746274,0.9989413359841846,10.437017845634086
1,0.002,19.237268784060838,0.9992849175898785,10.414379043631971
1,0.005,19.240064541212632,0.9998334671122437,10.402611183351315
1,0.01,19.216030485343822,0.998846014763683,10.374946668133619
1,0.02,19.190182993268603,0.999011341417684,10.40844698086695
1,0.035,19.295728879006116,0.994821858457937,10.36781365704994
1,0.05,19.31047828492208,0.9924518808415559,10.432012178065975
1,0.075,19.373683709897396,0.9906706282436518,10.382465466576823
1,0.1,19.52638796678607,0.9841114037700661,10.35715926836274
2,0.0,19.10577496907818,1.002591479886511,10.422394846953937
2,0.002,19.184829842586588,1.0010960809105562,10.379851286969187
2,0.005,19.182772690769333,1.001103889743923,10.471128710178546
2,0.01,19.240756110555516,0.9993318268378147,10.427212273618656
2,0.02,19.194018374314844,1.0004430432870155,10.442257691362634
2,0.035,19.293598920421967,0.9992974529869525,10.413828710029094
2,0.05,19.30563150469174,0.9954031396046762,10.363034569289383
2,0.075,19.496704076998704,0.9892281393756223,10.4199183897069
2,0.1,19.576607003227892,0.982850336335525,10.366718480507116
3,0.0,19.120832175222848,0.999711908722522,10.40824431484552
3,0.002,19.31572634563017,1.0028910925686154,10.415324307083619
3,0.005,19.27321892011419,1.0032740263218072,10.411489057364914
3,0.01,19.289577834754937,1.0005010246573374,10.433530948994173
3,0.02,19.238802465904435,0.997911318916143,10.438258276880765
3,0.035,19.227033274666198,0.999167101523523,10.427143217906382
3,0.05,19.315386163980065,0.9920948800496083,10.41368397984341
3,0.075,19.65300992732448,0.9885051822193969,10.346604641200809
3,0.1,19.5522554967945,0.9819543214148323,10.384993354198581
4,0.0,19.257465418424882,1.0008174766831337,10.42471081120691
4,0.002,19.180988505058522,0.9990156199183164,10.399790867498638
4,0.005,19.171292956623365,1.0028849463257234,10.36011335651275
4,0.01,19.291447012022928,1.0012970696203929,10.400129466974809
4,0.02,19.209108621212568,0.998226042892671,10.404046133322911
4,0.035,19.234064583348484,0.9947386982562618,10.374141295394995
4,0.05,19.322306259355052,0.9942227967967033,10.38093514625115
4,0.075,19.253130419146796,0.98764003448249,10.389672853593511
4,0.1,19.611463107802546,0.9807870476396362,10.376006759452332
5,0.0,19.30749259236637,1.00017417078966,10.431455304224773
5,0.002,19.27429886630043,1.0016421463462513,10.418840694060755
5,0.005,19.27079871624884,1.0031975660200443,10.3299904567552
5,0.01,19.287015163917786,1.0005411351867182,10.373990564805617
5,0.02,19.269660031416887,0.9974431284074287,10.461817251566982
5,0.035,19.33626682928026,0.9970649222823197,10.407848428804119
5,0.05,19.287654630290948,0.9937878886534589,10.405395232523594
5,0.075,19.516698889121244,0.9862963567809293,10.353139947949266
5,0.1,19.66055101201731,0.9816404483389642,10.360430562318705
6,0.0,19.19850761389215,0.998180051124996,10.376479687237092
6,0.002,19.206995012170633,1.0005969385200069,10.370702342583792
6,0.005,19.27625830773675,0.9994861796942838,10.396338396143456
6,0.01,19.270573601076563,0.9992471749169709,10.392101741988714
6,0.02,19.208331324848235,0.9973275780333855,10.380905114096011
6,0.035,19.228054839204184,0.9969471106798509,10.448050296061693
6,0.05,19.467064301322054,0.9962285587168098,10.39956847153039
6,0.075,19.497167178233468,0.9896306078143433,10.428086383254099
6,0.1,19.603582506026545,0.9812001864012256,10.402731826834472
7,0.0,19.170583514550458,0.9998118439642057,10.373970744357345
7,0.002,19.16151324088116,1.0021604647475764,10.418290388099859
7,0.005,19.208644729077047,0.9996461401605098,10.462961052273348
7,0.01,19.184682576003034,1.0014735171737743,10.424183660796688
7,0.02,19.33622643643833,1.001140912934748,10.41529553885999
7,0.035,19.232368169439557,0.9980252083500943,10.466603507226935
7,0.05,19.424626358492553,0.9936424772201007,10.395891777801923
7,0.075,19.39836965255835,0.9918512854905323,10.355245092461395
7,0.1,19.451266410310755,0.9777379524021033,10.395221689876937
8,0.0,19.176165516795557,1.0028871842796168,10.395299039694859
8,0.002,19.259525177631073,1.0034319835135987,10.405941980672203
8,0.005,19.31820758975292,1.0026528456475807,10.438358230537911
8,0.01,19.227831610294203,0.9996854137278934,10.434145416723585
8,0.02,19.283775280094613,1.0035976433878762,10.384379700773149
8,0.035,19.23235890599214,0.9987639758342535,10.400646133515403
8,0.05,19.33759779934036,0.9939362896689463,10.416176119239077
8,0.075,19.309117307668348,0.9865224995636143,10.379803241271274
8,0.1,19.670590583567982,0.9823712004498232,10.355113651694763
9,0.0,19.189403861899912,1.0006058017266672,10.45629632023252
9,0.002,19.234289792861524,1.0012069712381262,10.442270743171745
9,0.005,19.187531462077366,1.0029947437127922,10.405242463713407
9,0.01,19.09095964995967,0.9977623202436677,10.42190978620348
9,0.02,19.15341913994277,1.0010817565743406,10.40366735303292
9,0.035,19.19148261588952,1.0008237267011841,10.40670994602985
9,0.05,19.293122816133224,0.9957377555616305,10.400358898667308
9,0.075,19.343884667789506,0.9900587556736902,10.405336002789653
9,0.1,19.558573129737038,0.9773349835041469,10.348549888041942
10,0.0,19.099280645995638,1.0012555832975076,10.382741071657207
10,0.002,19.2241787482868,0.9992057691302091,10.371759992746792
10,0.005,19.16203378325952,1.000332209515191,10.383051094708348
10,0.01,19.16535633186884,0.998543477427216,10.357821871510412
10,0.02,19.206682417065387,0.9984854232157518,10.348594990843928
10,0.035,19.141912940451427,0.997583022016597,10.354397480680362
10,0.05,19.267105988051068,0.9956940674811077,10.385301521126824
10,0.075,19.36516269439194,0.9898981187506934,10.37919949829669
10,0.1,19.513293891434124,0.9803017053173995,10.388370245392608
11,0.0,19.222446861253722,1.0003011241321038,10.368193042146158
11,0.002,19.195385541723592,0.9967251574351965,10.424337998687523
11,0.005,19.2488699382485,0.9989055588664365,10.414001094481197
11,0.01,19.24586475773488,1.0018013123908192,10.422558694166488
11,0.02,19.202304260972568,1.000973762353041,10.437843905822652
11,0.035,19.21992403958151,0.9974196194244238,10.424294189178626
11,0.05,19.332719201143846,0.9954537477461124,10.448841432950088
11,0.075,19.327189243539095,0.9905280737889304,10.410470826076336
11,0.1,19.438081099411345,0.9804618409588126,10.362877019326314
12,0.0,19.23629647241566,0.9983804269574423,10.380139613883241
12,0.002,19.22714742269638,0.9997266503688765,10.42795937858254
12,0.005,19.22006570309309,1.0005542281622173,10.366183545125985
12,0.01,19.23140591161043,0.9984824358641045,10.385683317351553
12,0.02,19.23861955428634,0.9980948068696903,10.378731916846812
12,0.035,19.23258449287224,0.9952392091312853,10.348371812148681
12,0.05,19.334497795507584,0.9922359281558979,10.378034833415205
12,0.075,19.259729157986097,0.9891147370680967,10.390691800321633
12,0.1,19.565194834287368,0.9814444947893782,10.490501349179839
13,0.0,19.299333236340974,1.0003037299578499,10.422100188027196
13,0.002,19.17482519545147,1.0001391905249761,10.404284994025511
13,0.005,19.301294791896485,0.9975766620591158,10.382157156705315
13,0.01,19.279233272727257,0.9988134659521897,10.363350810016083
13,0.02,19.246517514577082,0.9957513833684807,10.392546901459736
13,0.035,19.245081902383447,0.9974302188607436,10.355816701375987
13,0.05,19.283175765389107,0.9989878071358118,10.37844789301705
13,0.075,19.45413529178239,0.9909665638914518,10.435234041517154
13,0.1,19.648230042017126,0.9844486469689434,10.427800827285125
14,0.0,19.093062474741064,0.999654230155506,10.44511210193525
14,0.002,19.164680990715222,1.0013145235526004,10.41693914548235
14,0.005,19.27883898650617,1.0017387148645283,10.376437024839335
14,0.01,19.143460298238164,0.9989364647368283,10.410129517008201
14,0.02,19.169023442321453,0.9936545198110599,10.389329264550838
14,0.035,19.169261737390116,0.9952252118513842,10.426468919094527
14,0.05,19.176185071659678,0.9930064154778487,10.369599251452716
14,0.075,19.334825117783016,0.9898519513468631,10.41457663192344
14,0.1,19.700986697261996,0.9831482037001142,10.374761971663311
15,0.0,19.21496891596252,0.9975983456342312,10.388320104568622
15,0.002,19.198861894496932,0.9969566431010803,10.369960379606118
15,0.005,19.162754438326225,0.9995024500010531,10.389844979996004
15,0.01,19.261009964251244,0.9962564958367844,10.388860829429559
15,0.02,19.216446671395275,0.9968701311461952,10.357378625769266
15,0.035,19.279422790127054,0.9987637981735671,10.34575410962297
15,0.05,19.334911634999145,0.9941046682013507,10.353413404933764
15,0.075,19.46810899176046,0.9924633327668274,10.442545990829364
15,0.1,19.64673885714497,0.979196755670527,10.450966986117807
16,0.0,19.310103929190348,1.0006192840352988,10.386514538300137
16,0.002,19.24342448644446,0.9978060657671162,10.355648235634208
16,0.005,19.298978170331342,1.0001301473162096,10.386002301553694
16,0.01,19.164234330954635,0.9981837896310749,10.358333572349956
16,0.02,19.247304839378113,1.0003475701227802,10.413895431895886
16,0.035,19.310325209151284,0.9949930872799375,10.389949490216976
