seed,method,C_D,R_pi,C_bin
0,structured active boundary,8.552149241097528,0.024660199748032897,"(6.902, 42.685]"
0,unstructured table,59.45736177612875,0.14211123878584692,"(42.685, 78.185]"
0,structured active boundary,10.207097386567222,0.016909033064914536,"(6.902, 42.685]"
0,unstructured table,60.52040902730101,0.14843729875215378,"(42.685, 78.185]"
0,structured active boundary,12.55047532982163,0.009429537781554873,"(6.902, 42.685]"
0,unstructured table,76.48792730312067,0.12373855507912367,"(42.685, 78.185]"
0,structured active boundary,15.745509887730384,0.005298506671536335,"(6.902, 42.685]"
0,unstructured table,91.66184125263962,0.11489361687063049,"(78.185, 113.684]"
0,structured active boundary,20.820730921631053,0.0025625670642530725,"(6.902, 42.685]"
0,unstructured table,112.77632203610541,0.0962580220717371,"(78.185, 113.684]"
0,structured active boundary,25.6925944480793,0.0007341044329193063,"(6.902, 42.685]"
0,unstructured table,137.39674966805669,0.09618048047683943,"(113.684, 149.184]"
0,structured active boundary,33.65303768679442,0.00022340939115463002,"(6.902, 42.685]"
0,unstructured table,177.22110050230995,0.07375265439479062,"(149.184, 184.683]"
0,structured active boundary,45.88076916425986,5.702197300149203e-05,"(42.685, 78.185]"
0,unstructured table,226.22477086256043,0.05077652743932281,"(220.183, 255.682]"
0,structured active boundary,58.470342563296185,3.7301594965451784e-05,"(42.685, 78.185]"
0,unstructured table,288.4460464819923,0.041014795187348,"(255.682, 291.182]"
1,structured active boundary,8.17099916529323,0.024499411406344138,"(6.902, 42.685]"
1,unstructured table,49.876202240664675,0.1525460656124345,"(42.685, 78.185]"
1,structured active boundary,9.93720065856117,0.018978746261235413,"(6.902, 42.685]"
1,unstructured table,65.01106445024386,0.13669675154816988,"(42.685, 78.185]"
1,structured active boundary,11.925192229883109,0.009205213682485166,"(6.902, 42.685]"
1,unstructured table,80.16960669322629,0.1437239585070343,"(78.185, 113.684]"
1,structured active boundary,16.180058503195553,0.004574786373142961,"(6.902, 42.685]"
1,unstructured table,88.19086621245174,0.11753239734537964,"(78.185, 113.684]"
1,structured active boundary,20.12607728309213,0.003135952867515015,"(6.902, 42.685]"
1,unstructured table,105.25158760524944,0.10739442517370272,"(78.185, 113.684]"
1,structured active boundary,25.58957892401194,0.0009037496401183282,"(6.902, 42.685]"
1,unstructured table,135.23108214802224,0.09108595050969145,"(113.684, 149.184]"
1,structured active boundary,33.673975169214735,0.00022261923834853605,"(6.902, 42.685]"
1,unstructured table,174.35284386731416,0.07492420049929874,"(149.184, 184.683]"
1,structured active boundary,44.9322178907713,5.938844460617668e-05,"(42.685, 78.185]"
1,unstructured table,225.87374159050742,0.05370503014015181,"(220.183, 255.682]"
1,structured active boundary,58.43290468477001,3.3323545727169556e-05,"(42.685, 78.185]"
1,unstructured table,290.5056667272456,0.043311923897909894,"(255.682, 291.182]"
2,structured active boundary,7.994089774914515,0.023465931760715958,"(6.902, 42.685]"
2,unstructured table,57.22750209627868,0.14276530488190364,"(42.685, 78.185]"
2,structured active boundary,10.152349605076145,0.01719754787753897,"(6.902, 42.685]"
2,unstructured table,63.17747651553536,0.15407094007939498,"(42.685, 78.185]"
2,structured active boundary,12.595159461388649,0.008658494917853697,"(6.902, 42.685]"
2,unstructured table,81.33985738144887,0.13462363391854698,"(78.185, 113.684]"
2,structured active boundary,16.192151837515137,0.00515709130093994,"(6.902, 42.685]"
2,unstructured table,89.19026427887,0.1224558146120848,"(78.185, 113.684]"
2,structured active boundary,19.407237275342794,0.0026554286783919572,"(6.902, 42.685]"
2,unstructured table,111.35227675068604,0.10638527678228768,"(78.185, 113.684]"
2,structured active boundary,26.024249339766914,0.0008345439372695632,"(6.902, 42.685]"
2,unstructured table,135.74435878480645,0.09372509348379658,"(113.684, 149.184]"
2,structured active boundary,33.519852209657294,0.0002416055976061095,"(6.902, 42.685]"
2,unstructured table,175.8280023768041,0.07016188234088856,"(149.184, 184.683]"
2,structured active boundary,45.23094118875754,5.8845555519819134e-05,"(42.685, 78.185]"
2,unstructured table,222.92387851629135,0.05390601034921145,"(220.183, 255.682]"
2,structured active boundary,58.76232973944005,4.0904204830275184e-05,"(42.685, 78.185]"
2,unstructured table,284.3832984988344,0.0429825841063365,"(255.682, 291.182]"
3,structured active boundary,8.238503918200658,0.024385346515248506,"(6.902, 42.685]"
3,unstructured table,53.91151701229956,0.15614689820552685,"(42.685, 78.185]"
3,structured active boundary,9.855233335035058,0.013511000810820156,"(6.902, 42.685]"
3,unstructured table,63.7022007204656,0.12483743868130723,"(42.685, 78.185]"
3,structured active boundary,12.69712886222865,0.009639727636122863,"(6.902, 42.685]"
3,unstructured table,77.04664376524431,0.13026692405795107,"(42.685, 78.185]"
3,structured active boundary,15.596601899376445,0.005872572039796079,"(6.902, 42.685]"
3,unstructured table,94.61401514724663,0.13095357139534125,"(78.185, 113.684]"
3,structured active boundary,20.04921024414834,0.0022909510722963224,"(6.902, 42.685]"
3,unstructured table,109.51687200783304,0.11093923387759923,"(78.185, 113.684]"
3,structured active boundary,25.854426331272357,0.0008481239807381669,"(6.902, 42.685]"
