geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
0,active,9.810151241040679e-05,3.3426236516691074e-05,1.1961425118427145e-05,7.732124385627781e-05,3.165470116623582e-05,1.1327489334823867e-05,15.800784812099286,0.00026740989213341903,9.569140094737796e-05
0,uniform,0.062114811499214426,0.021164448226611905,0.007573600531098825,0.044426755223329874,0.017007729506404154,0.006086137840367789,83.99920398504986,0.7653478277881871,0.2738762028165506
1,active,0.00010171354205161185,3.8485731339061395e-05,1.3771942088371785e-05,7.08950814982494e-05,3.2971927885737524e-05,1.1798852862735348e-05,15.800813708336415,0.00030788585071252065,0.00011017553670698485
1,uniform,0.06440183577417675,0.024367962213823296,0.008719963288830436,0.04170620829472453,0.017068710192875758,0.006107959498768852,83.87677937326261,0.7680919586794112,0.2748581774445991
2,active,0.00012409871153620805,4.785226756232228e-05,1.7123714029482352e-05,0.0001471798475548452,4.677593023954063e-05,1.6738551665116493e-05,23.00099278969229,0.00038281814049862445,0.00013698971223587535
2,uniform,0.07857542544419743,0.030298560199659885,0.01084220052243754,0.08379715714869104,0.02575923662661781,0.00921782444348108,121.77087207169112,1.1591656481978014,0.4148020999566485
3,active,0.00012061614827807016,3.4781198090649804e-05,1.2446291890585615e-05,0.00013598588731827954,4.8549847694161684e-05,1.7373339873747918e-05,23.000964929186228,0.00027824958472516835,9.957033512467414e-05
3,uniform,0.07637037523652439,0.02202236754597797,0.007880603016739856,0.07569459559745689,0.02312102576129452,0.00827375280991779,121.40625680188558,1.040446159258253,0.37231887644630035
4,active,0.00010733473051875441,3.570936389340868e-05,1.2778431757472551e-05,6.882212589888538e-05,3.2455563141170645e-05,1.1614074111982228e-05,15.800858677844152,0.0002856749111474917,0.00010222745405985995
4,uniform,0.06796099662153782,0.022610053122493083,0.008090903599431992,0.04581294063262461,0.018644176371575498,0.006671732830346924,84.06158232846812,0.8389879367208964,0.3002279773656112
5,active,0.00010937230321919206,4.004299709490395e-05,1.432920248227525e-05,6.529810137996655e-05,3.8082626084153365e-05,1.362769272547928e-05,15.800874978425753,0.0003203439767592135,0.0001146336198581955
5,uniform,0.06925112397119171,0.02535397421813776,0.009072803153096592,0.04833552030149067,0.020259503252903113,0.007249770131170025,84.17509841356706,0.9116776463806392,0.32623965590265086
6,active,0.00011756458561674061,4.73528032907224e-05,1.6944983035309898e-05,0.00010178211992877323,4.919790192984198e-05,1.7605243103682247e-05,19.400940516684933,0.0003788224263259922,0.0001355598642825554
6,uniform,0.0744382211358497,0.0299823150336141,0.01072903364315598,0.0627056631074019,0.025024177204821387,0.008954786807550337,102.8217548398331,1.1260879742169618,0.4029654063397649
7,active,0.00011730791072210878,4.426185527241874e-05,1.5838901492225372e-05,0.00016231242343020256,5.7308364040938806e-05,2.0507534696374195e-05,23.00093846328578,0.0003540948421791858,0.00012671121193774426
7,uniform,0.07427570261492723,0.0280252233558841,0.01002869738061039,0.08697831481147505,0.03608981893420795,0.012914575845341262,121.91402416651637,1.624041852039359,0.5811559130403572
8,active,0.00012258040631821034,5.8253826527653387e-05,2.084586410212322e-05,0.00012520651820158664,5.420826386825934e-05,1.9398178096907423e-05,19.40098064325054,0.0004660306122209453,0.00016676691281688493
8,uniform,0.0776140820347328,0.03688450223616409,0.013198949612769918,0.06602508690866352,0.025697593607532234,0.009195765772398029,102.97112891088985,1.1563917123389504,0.4138094597579112
9,active,0.00010206999586332815,4.01879826230766e-05,1.4381084887212665e-05,9.245381973163515e-05,5.4331131394389535e-05,1.9442145676463047e-05,15.800816559966904,0.00032150386098472736,0.00011504867909774231
9,uniform,0.06462753118680385,0.02544577452305908,0.009105653470320215,0.05022211719247184,0.0232543606819581,0.008321466098501517,84.25999527366123,1.0464462306881146,0.3744659744325683
10,active,8.72524208202921e-05,3.96931234860952e-05,1.4204001819299324e-05,7.441910601716821e-05,3.564930855308236e-05,1.2756941229936906e-05,15.800698019366566,0.00031754498788881167,0.00011363201455441252
10,uniform,0.055245505792310766,0.02513244518433071,0.008993530006443743,0.040014469230083574,0.020443450940435908,0.007315594965773607,83.80065111535377,0.919955292319617,0.3292017734598127
11,active,0.00011023349979250784,3.8601482028956096e-05,1.3813362940787834e-05,9.784350428998159e-05,4.744400292910493e-05,1.6977618406773137e-05,23.000881867998338,0.00030881185623170883,0.00011050690352632415
11,uniform,0.06979640672475593,0.024441251932878594,0.008746189677972175,0.07089445961156958,0.029430849596044088,0.010531694270726167,121.19025068252061,1.3243882318219828,0.4739262421826771
12,active,9.494855103340944e-05,5.19461678279847e-05,1.8588697424953088e-05,5.762816566231968e-05,3.506277717172308e-05,1.2547053670676881e-05,12.20075958840827,0.0004155693426240512,0.00014870957939968683
12,uniform,0.06011845490098851,0.03289068989317802,0.011769782220448511,0.024840641538298888,0.014354772187027508,0.005136789255992719,65.11782886922346,0.6459647484162383,0.2311555165196725
13,active,7.68430621441817e-05,2.762758828203374e-05,9.886405496869716e-06,5.0372821064545616e-05,2.54766856771311e-05,9.116714884744542e-06,15.800614744497153,0.00022102070625636914,7.909124397499322e-05
13,uniform,0.048654625222691386,0.017492925400960833,0.0062597629613894154,0.03410841143193554,0.013275802209433677,0.004750684808201382,83.53487851443711,0.5974110994245163,0.21378081636906252
14,active,0.00010304690519110798,3.701347489819632e-05,1.3245101887150327e-05,0.00012873054272050547,5.945108350283382e-05,2.127429700838188e-05,19.400824375241527,0.0002961077991854574,0.00010596081509716211
