seed,family,structure,samples,queries,policy_risk
0,inventory_threshold,structured,100000,22944,8e-05
0,machine_replacement,structured,100000,22944,4e-05
0,admission_control,structured,100000,21838,5e-05
0,resource_allocation,structured,100000,22944,2e-05
0,random_structured,structured,100000,20004,4e-05
0,oscillatory_fragmented,unstructured,100000,22118,0.18522
1,inventory_threshold,structured,100000,22944,4e-05
1,machine_replacement,structured,100000,22944,6e-05
1,admission_control,structured,100000,21838,5e-05
1,resource_allocation,structured,100000,22944,3e-05
1,random_structured,structured,100000,22944,7e-05
1,oscillatory_fragmented,unstructured,100000,22118,0.1855
2,inventory_threshold,structured,100000,22944,5e-05
2,machine_replacement,structured,100000,22944,5e-05
2,admission_control,structured,100000,21838,6e-05
2,resource_allocation,structured,100000,22944,5e-05
2,random_structured,structured,100000,20438,2e-05
2,oscillatory_fragmented,unstructured,100000,22118,0.18542
3,inventory_threshold,structured,100000,22944,2e-05
3,machine_replacement,structured,100000,22944,6e-05
3,admission_control,structured,100000,21838,6e-05
3,resource_allocation,structured,100000,22944,2e-05
3,random_structured,structured,100000,20396,1e-05
3,oscillatory_fragmented,unstructured,100000,22118,0.18679
4,inventory_threshold,structured,100000,22944,3e-05
4,machine_replacement,structured,100000,22944,3e-05
4,admission_control,structured,100000,21838,9e-05
4,resource_allocation,structured,100000,22944,2e-05
4,random_structured,structured,100000,22356,2e-05
4,oscillatory_fragmented,unstructured,100000,22118,0.18705
5,inventory_threshold,structured,100000,22944,3e-05
5,machine_replacement,structured,100000,22944,2e-05
5,admission_control,structured,100000,21838,1e-05
5,resource_allocation,structured,100000,22944,3e-05
5,random_structured,structured,100000,18100,5e-05
5,oscillatory_fragmented,unstructured,100000,22118,0.18697
6,inventory_threshold,structured,100000,22944,2e-05
6,machine_replacement,structured,100000,22944,2e-05
6,admission_control,structured,100000,21838,3e-05
6,resource_allocation,structured,100000,22944,3e-05
6,random_structured,structured,100000,19052,5e-05
6,oscillatory_fragmented,unstructured,100000,22118,0.18412
7,inventory_threshold,structured,100000,22944,2e-05
7,machine_replacement,structured,100000,22944,2e-05
7,admission_control,structured,100000,21838,3e-05
7,resource_allocation,structured,100000,22944,2e-05
7,random_structured,structured,100000,17764,3e-05
7,oscillatory_fragmented,unstructured,100000,22118,0.18758
8,inventory_threshold,structured,100000,22944,4e-05
8,machine_replacement,structured,100000,22944,1e-05
8,admission_control,structured,100000,21838,4e-05
8,resource_allocation,structured,100000,22944,5e-05
8,random_structured,structured,100000,22944,4e-05
8,oscillatory_fragmented,unstructured,100000,22118,0.18671
9,inventory_threshold,structured,100000,22944,3e-05
9,machine_replacement,structured,100000,22944,1e-05
9,admission_control,structured,100000,21838,4e-05
9,resource_allocation,structured,100000,22944,2e-05
9,random_structured,structured,100000,20004,1e-05
9,oscillatory_fragmented,unstructured,100000,22118,0.18487
10,inventory_threshold,structured,100000,22944,7e-05
10,machine_replacement,structured,100000,22944,0.00012
10,admission_control,structured,100000,21838,5e-05
10,resource_allocation,structured,100000,22944,0.0
10,random_structured,structured,100000,18156,1e-05
10,oscillatory_fragmented,unstructured,100000,22118,0.18483
11,inventory_threshold,structured,100000,22944,4e-05
11,machine_replacement,structured,100000,22944,5e-05
11,admission_control,structured,100000,21838,5e-05
11,resource_allocation,structured,100000,22944,3e-05
11,random_structured,structured,100000,22944,3e-05
11,oscillatory_fragmented,unstructured,100000,22104,0.18587
12,inventory_threshold,structured,100000,22944,9e-05
12,machine_replacement,structured,100000,22944,3e-05
12,admission_control,structured,100000,21838,5e-05
12,resource_allocation,structured,100000,22944,6e-05
12,random_structured,structured,100000,20788,5e-05
12,oscillatory_fragmented,unstructured,100000,22118,0.18472
13,inventory_threshold,structured,100000,22944,5e-05
13,machine_replacement,structured,100000,22944,3e-05
13,admission_control,structured,100000,21838,1e-05
13,resource_allocation,structured,100000,22944,3e-05
13,random_structured,structured,100000,21012,2e-05
13,oscillatory_fragmented,unstructured,100000,22118,0.18585
14,inventory_threshold,structured,100000,22944,3e-05
