seed,family,strategy,samples,queries,d_H,policy_risk
0,inventory_threshold,uniform,100,100,0.44999999999999996,0.27796
0,inventory_threshold,active_adaptive_bisection,100,84,0.03125,0.01871
0,inventory_threshold,uniform,200,200,0.48894125867433175,0.26935
0,inventory_threshold,active_adaptive_bisection,200,189,0.03125,0.01598
0,inventory_threshold,uniform,500,500,0.2607106319635327,0.10629
0,inventory_threshold,active_adaptive_bisection,500,480,0.015625,0.01027
0,inventory_threshold,uniform,1000,1000,0.442792745840478,0.1192
0,inventory_threshold,active_adaptive_bisection,1000,999,0.0078125,0.00468
0,inventory_threshold,uniform,2000,2000,0.11123157477644097,0.04985
0,inventory_threshold,active_adaptive_bisection,2000,1980,0.00390625,0.00237
0,inventory_threshold,uniform,5000,5000,0.03430502588857509,0.01041
0,inventory_threshold,active_adaptive_bisection,5000,4968,0.0009765625,0.00058
0,inventory_threshold,uniform,10000,10000,0.015091395310238731,0.00778
0,inventory_threshold,active_adaptive_bisection,10000,9945,0.00048828125,0.00044
0,inventory_threshold,uniform,25000,25000,0.004489303740482786,0.00213
0,inventory_threshold,active_adaptive_bisection,25000,20076,0.000244140625,0.00033
0,inventory_threshold,uniform,50000,50000,0.0031392649018034957,0.00109
0,inventory_threshold,active_adaptive_bisection,50000,21510,0.0001220703125,0.00014
0,inventory_threshold,uniform,100000,100000,0.0020581069336325086,0.00115
0,inventory_threshold,active_adaptive_bisection,100000,22944,6.103515625e-05,8e-05
0,machine_replacement,uniform,100,100,0.15217391304347827,0.09956
0,machine_replacement,active_adaptive_bisection,100,84,0.028373430962343127,0.01646
0,machine_replacement,uniform,200,200,0.34482128210058727,0.11186
0,machine_replacement,active_adaptive_bisection,200,189,0.02926877825297598,0.01586
0,machine_replacement,uniform,500,500,0.32579071610306287,0.1176
0,machine_replacement,active_adaptive_bisection,500,480,0.015127194104557429,0.00815
0,machine_replacement,uniform,1000,1000,0.14003338552428063,0.10049
0,machine_replacement,active_adaptive_bisection,1000,999,0.00749130207385848,0.00397
0,machine_replacement,uniform,2000,2000,0.06585904327884373,0.03661
0,machine_replacement,active_adaptive_bisection,2000,1980,0.00379539407858831,0.00187
0,machine_replacement,uniform,5000,5000,0.02126581334903599,0.00778
0,machine_replacement,active_adaptive_bisection,5000,4968,0.0009603670737665659,0.00077
0,machine_replacement,uniform,10000,10000,0.007123379668595942,0.00402
0,machine_replacement,active_adaptive_bisection,10000,9945,0.0004877482888393514,0.00027
0,machine_replacement,uniform,25000,25000,0.003958450441191419,0.00205
0,machine_replacement,active_adaptive_bisection,25000,20076,0.0002437853175595306,9e-05
0,machine_replacement,uniform,50000,50000,0.001963503916374648,0.00067
0,machine_replacement,active_adaptive_bisection,50000,21510,0.00012171500505953059,8e-05
0,machine_replacement,uniform,100000,100000,0.0010958332751594968,0.00044
0,machine_replacement,active_adaptive_bisection,100000,22944,6.067984880953059e-05,4e-05
0,admission_control,uniform,100,100,0.5,0.27601
0,admission_control,active_adaptive_bisection,100,79,0.10325139470013944,0.04537
0,admission_control,uniform,200,200,0.5,0.29502
0,admission_control,active_adaptive_bisection,200,179,0.03125,0.02375
0,admission_control,uniform,500,500,0.3206425959606294,0.12719
0,admission_control,active_adaptive_bisection,500,456,0.017619257913434105,0.01098
0,admission_control,uniform,1000,1000,0.15454818020490957,0.1118
0,admission_control,active_adaptive_bisection,1000,950,0.0078125,0.00525
0,admission_control,uniform,2000,2000,0.10325781775986853,0.064
0,admission_control,active_adaptive_bisection,2000,1892,0.006624147197610893,0.00283
0,admission_control,uniform,5000,5000,0.058628339842262456,0.02558
0,admission_control,active_adaptive_bisection,5000,4970,0.0013862325447351331,0.0007
0,admission_control,uniform,10000,10000,0.04895534228965466,0.02227
0,admission_control,active_adaptive_bisection,10000,9907,0.00048828125,0.00028
0,admission_control,uniform,25000,25000,0.04555948619916639,0.02181
0,admission_control,active_adaptive_bisection,25000,19128,0.000244140625,0.00016
0,admission_control,uniform,50000,50000,0.04642079178035208,0.02138
0,admission_control,active_adaptive_bisection,50000,20483,0.0001220703125,9e-05
0,admission_control,uniform,100000,100000,0.04573536201395211,0.02131
0,admission_control,active_adaptive_bisection,100000,21838,6.103515625e-05,5e-05
0,resource_allocation,uniform,100,100,0.4964027580075816,0.33553
0,resource_allocation,active_adaptive_bisection,100,84,0.03257011140332189,0.0239
0,resource_allocation,uniform,200,200,0.5071438083450927,0.28228
0,resource_allocation,active_adaptive_bisection,200,189,0.03023272655866588,0.01853
