samples,active_adaptive_bisection,uniform,risk_reduction_factor
100,0.025079399999999998,0.27035499999999996,10.779962838026426
200,0.018638866666666663,0.3149171333333334,16.895723273589603
500,0.009132533333333335,0.1616806,17.703806172803453
1000,0.004564933333333333,0.1188302,26.0310920933493
2000,0.0022332000000000003,0.05688166666666665,25.47092363723206
5000,0.0005824666666666667,0.017752,30.47728053107474
10000,0.0003004666666666667,0.011235666666666666,37.39405369425338
25000,0.00016546666666666669,0.008921066666666666,53.91458501208702
50000,7.493333333333333e-05,0.008481200000000001,113.18327402135233
100000,3.973333333333335e-05,0.0083278,209.59228187919456
