family,strategy,samples,d_H_mean,d_H_sd,d_H_ci95,policy_risk_mean,policy_risk_sd,policy_risk_ci95,queries_mean,queries_sd,queries_ci95
admission_control,active_adaptive_bisection,100,0.10325139470013944,0.0,0.0,0.04654566666666667,0.0006901808025654475,0.0002469780282904485,79.0,0.0,0.0
admission_control,active_adaptive_bisection,200,0.03485588120898911,0.0037691515931979024,0.0013487735754973372,0.022934999999999997,0.0010520513623229228,0.00037647174502822615,179.0,0.0,0.0
admission_control,active_adaptive_bisection,500,0.02075946881252359,0.0029344882249547517,0.0010500931250867944,0.010804999999999999,0.0004082996702051754,0.00014610816053428575,456.0,0.0,0.0
admission_control,active_adaptive_bisection,1000,0.007912178388854805,0.0003893626038544075,0.00013933161837093787,0.005315666666666666,0.00022049604474259037,7.890349626350762e-05,953.5,3.5598333940092544,1.2738700198945758
admission_control,active_adaptive_bisection,2000,0.005378758131395584,0.0010992375158431517,0.000393357093209048,0.0028103333333333327,0.0001794336556546993,6.420950904142622e-05,1891.7333333333333,1.4605934866804424,0.5226666666666666
admission_control,active_adaptive_bisection,5000,0.0014187282170660795,0.00027459442666830157,9.82623536122656e-05,0.000665,8.520765709480698e-05,3.0491168497154045e-05,4972.333333333333,9.71430986184577,3.4762211393928437
admission_control,active_adaptive_bisection,10000,0.0005015855616510351,4.148140127390939e-05,1.4843928807167223e-05,0.0003216666666666666,6.363057892800162e-05,2.2769910238306527e-05,9892.366666666667,28.533686484010715,10.210648574234321
admission_control,active_adaptive_bisection,25000,0.000244140625,0.0,0.0,0.000169,4.171744032879063e-05,1.4928394298176849e-05,19128.0,0.0,0.0
admission_control,active_adaptive_bisection,50000,0.0001220703125,0.0,0.0,8.66666666666667e-05,2.6695386832951486e-05,9.55282149249283e-06,20483.0,0.0,0.0
admission_control,active_adaptive_bisection,100000,6.103515625e-05,0.0,0.0,4.5333333333333335e-05,1.71671967332515e-05,6.143202454621485e-06,21838.0,0.0,0.0
admission_control,uniform,100,0.5,0.0,0.0,0.2781516666666667,0.0014970409510749589,0.0005357092242963252,100.0,0.0,0.0
admission_control,uniform,200,0.7223679656210322,0.3353879086547335,0.12001702174865739,0.3197939999999999,0.08183230563486062,0.029283314489528575,200.0,0.0,0.0
admission_control,uniform,500,0.362939194164644,0.2595340241182183,0.09287305777376348,0.163923,0.0492463654636493,0.017622585556528264,500.0,0.0,0.0
admission_control,uniform,1000,0.22671728660642845,0.10255467787667547,0.03669872016114435,0.122578,0.020042154093052354,0.007171992733202722,1000.0,0.0,0.0
admission_control,uniform,2000,0.1323166865598697,0.03725972238697547,0.013333220419314774,0.06209166666666667,0.007202052908161255,0.002577221534255127,2000.0,0.0,0.0
admission_control,uniform,5000,0.059319059867419394,0.008798554168476391,0.0031485221731170107,0.026173666666666665,0.0013124430584254675,0.0004696517167799235,5000.0,0.0,0.0
admission_control,uniform,10000,0.047778527141931246,0.002848712126087613,0.0010193985423138353,0.022705999999999997,0.0007921929406226832,0.00028348260307059096,10000.0,0.0,0.0
admission_control,uniform,25000,0.04650890296060603,0.00102826525392037,0.00036795999545169645,0.021699000000000003,0.0004718806833409742,0.00016886033388164516,25000.0,0.0,0.0
admission_control,uniform,50000,0.0462334345802866,0.0005436023307894484,0.0001945255958053671,0.021680666666666668,0.0004512888312327289,0.00016149163423998756,50000.0,0.0,0.0
admission_control,uniform,100000,0.04593283949039736,0.0002370270411201578,8.48190373446738e-05,0.021632,0.000507892196000904,0.00018174688818661306,100000.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,100,0.03125,0.0,0.0,0.018384333333333332,0.00036766442095582393,0.0001315670233403922,84.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,200,0.03125,0.0,0.0,0.016509666666666662,0.0009592327513509781,0.00034325703166428087,189.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,500,0.015625,0.0,0.0,0.009991333333333333,0.0003747618400819502,0.0001341068021566182,480.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,1000,0.0078125,0.0,0.0,0.004619666666666666,0.00027978419433967114,0.00010011948812252143,999.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,2000,0.00390625,0.0,0.0,0.0020536666666666667,0.0001553302007478514,5.5584198476783974e-05,1980.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,5000,0.0009765625,0.0,0.0,0.0005386666666666667,6.344877561022578e-05,2.2704852756565453e-05,4968.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,10000,0.00048828125,0.0,0.0,0.00031033333333333336,5.4106111155467616e-05,1.936162321810459e-05,9973.6,17.541281359243342,6.2770669188282735
inventory_threshold,active_adaptive_bisection,25000,0.000244140625,0.0,0.0,0.000247,6.142839958734127e-05,2.19818704819462e-05,20076.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,50000,0.0001220703125,0.0,0.0,9.133333333333336e-05,3.4713937709000513e-05,1.2422223072125203e-05,21510.0,0.0,0.0
inventory_threshold,active_adaptive_bisection,100000,6.103515625e-05,0.0,0.0,4.633333333333333e-05,2.075860159620308e-05,7.428370179582075e-06,22944.0,0.0,0.0
inventory_threshold,uniform,100,0.44999999999999984,1.6938038562251105e-16,4.0407995041904695e-17,0.27740299999999996,0.001615255184280437,0.0005780116443642721,100.0,0.0,0.0
inventory_threshold,uniform,200,0.7532227589947281,0.46611652804963133,0.1667976574013314,0.31981999999999994,0.11195147393956625,0.040061320446799414,200.0,0.0,0.0
inventory_threshold,uniform,500,0.3692975067340931,0.16802341261652695,0.060126406008992356,0.14866366666666667,0.030147900193744075,0.010788287531718291,500.0,0.0,0.0
inventory_threshold,uniform,1000,0.20245219555327984,0.06668627613084203,0.023863377439081932,0.11360900000000002,0.014775214182472313,0.005287242491810755,1000.0,0.0,0.0
inventory_threshold,uniform,2000,0.11981693452499036,0.03173768114037181,0.01135718333721211,0.053774,0.007578791915374885,0.002712035856583224,2000.0,0.0,0.0
inventory_threshold,uniform,5000,0.03975088437450405,0.011874253713904263,0.004249147120261308,0.013754666666666665,0.003106165985010586,0.001111527222532427,5000.0,0.0,0.0
inventory_threshold,uniform,10000,0.014628621363799357,0.004341970479692569,0.0015537541814894427,0.005503333333333332,0.0010686999299288292,0.000382429358433124,10000.0,0.0,0.0
inventory_threshold,uniform,25000,0.005501113542813805,0.001476205318725648,0.0005282532890157587,0.001979,0.00029312054716859034,0.0001048918406916294,25000.0,0.0,0.0
