strategy,epsilon,success_level,empirical_N_Gamma,seeds,families
active_adaptive_bisection,0.2,0.8,100.0,30,5
active_adaptive_bisection,0.2,0.9,100.0,30,5
active_adaptive_bisection,0.1,0.8,100.0,30,5
active_adaptive_bisection,0.1,0.9,200.0,30,5
active_adaptive_bisection,0.05,0.8,200.0,30,5
active_adaptive_bisection,0.05,0.9,200.0,30,5
active_adaptive_bisection,0.025,0.8,500.0,30,5
active_adaptive_bisection,0.025,0.9,500.0,30,5
active_adaptive_bisection,0.01,0.8,1000.0,30,5
active_adaptive_bisection,0.01,0.9,1000.0,30,5
active_adaptive_bisection,0.005,0.8,2000.0,30,5
active_adaptive_bisection,0.005,0.9,2000.0,30,5
uniform,0.2,0.8,2000.0,30,5
uniform,0.2,0.9,2000.0,30,5
uniform,0.1,0.8,5000.0,30,5
uniform,0.1,0.9,5000.0,30,5
uniform,0.05,0.8,10000.0,30,5
uniform,0.05,0.9,10000.0,30,5
uniform,0.025,0.8,,30,5
uniform,0.025,0.9,,30,5
uniform,0.01,0.8,,30,5
uniform,0.01,0.9,,30,5
uniform,0.005,0.8,,30,5
uniform,0.005,0.9,,30,5
