seed,family,structure,grid_size,states,actions,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges
0,inventory_threshold,structured,40,1600,4,3.0,4.0,1.0,8.307692307692307,4.153846153846153,8.0,20.46153846153846,162.0
0,machine_replacement,structured,40,1600,4,3.0,4.0,1.0,6.9743589743589745,3.4871794871794872,8.0,18.46153846153846,136.0
0,admission_control,structured,40,1600,4,3.0,4.0,1.0,7.179487179487179,3.5897435897435894,8.0,18.769230769230766,140.0
0,resource_allocation,structured,40,1600,4,3.0,4.0,1.0,8.512820512820513,4.256410256410256,8.0,20.769230769230766,166.0
0,random_structured,structured,40,1600,4,3.0,4.0,1.0,7.076923076923077,3.5384615384615383,8.0,18.615384615384613,138.0
0,oscillatory_fragmented,unstructured,40,1600,4,3.0,33.0,8.25,33.794871794871796,16.897435897435898,44.25,94.9423076923077,659.0
0,inventory_threshold,structured,60,3600,4,3.0,4.0,1.0,8.203389830508474,4.101694915254237,8.0,20.305084745762713,242.0
0,machine_replacement,structured,60,3600,4,3.0,4.0,1.0,6.8474576271186445,3.4237288135593222,8.0,18.271186440677965,202.0
0,admission_control,structured,60,3600,4,3.0,4.0,1.0,7.11864406779661,3.559322033898305,8.0,18.677966101694913,210.0
0,resource_allocation,structured,60,3600,4,3.0,4.0,1.0,8.474576271186441,4.237288135593221,8.0,20.711864406779664,250.0
0,random_structured,structured,60,3600,4,3.0,4.0,1.0,6.983050847457627,3.4915254237288136,8.0,18.47457627118644,206.0
0,oscillatory_fragmented,unstructured,60,3600,4,3.0,33.0,8.25,33.86440677966102,16.93220338983051,44.25,95.04661016949152,999.0
0,inventory_threshold,structured,80,6400,4,3.0,4.0,1.0,8.20253164556962,4.10126582278481,8.0,20.303797468354432,324.0
0,machine_replacement,structured,80,6400,4,3.0,4.0,1.0,6.886075949367089,3.4430379746835444,8.0,18.329113924050635,272.0
0,admission_control,structured,80,6400,4,3.0,4.0,1.0,7.063291139240506,3.531645569620253,8.0,18.594936708860757,279.0
0,resource_allocation,structured,80,6400,4,3.0,4.0,1.0,8.455696202531646,4.227848101265823,8.0,20.683544303797472,334.0
