seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
0,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
0,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
0,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
0,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
0,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
0,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
0,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
0,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
1,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
1,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
1,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
1,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
1,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
1,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
1,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
1,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
2,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
2,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
2,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
2,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
2,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
2,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
2,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
2,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
3,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
3,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
3,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
