structure,states,C_top_mean,C_top_sd,C_top_ci95,C_D_mean,C_D_sd,C_D_ci95,C_B_mean,C_B_sd,C_B_ci95,C_R_mean,C_R_sd,C_R_ci95,F_mean,F_sd,F_ci95
structured,1600,8.0,0.0,0.0,19.43487179487179,0.9932853742455777,0.158958765943578,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,3600,8.0,0.0,0.0,19.32135593220339,1.0068314803585552,0.1611265944114996,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,6400,8.0,0.0,0.0,19.30278481012658,1.0028961115675863,0.1604968042396465,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,14400,8.0,0.0,0.0,19.270588235294113,0.9992022843028556,0.1599056687625372,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,25600,8.0,0.0,0.0,19.242012578616354,1.0081884805210142,0.16134375966612097,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,57600,8.0,0.0,0.0,19.219079497907952,0.9993670653941423,0.15993203922927413,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
structured,102400,8.0,0.0,0.0,19.21003134796238,1.0016405130391988,0.16029586662617892,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
unstructured,1600,44.25,0.0,0.0,94.94230769230768,4.336137871936283e-14,5.172223365363801e-15,3.0,0.0,0.0,33.0,0.0,0.0,8.25,0.0,0.0
unstructured,3600,44.25,0.0,0.0,95.04661016949152,1.4453792906454277e-14,0.0,3.0,0.0,0.0,33.0,0.0,0.0,8.25,0.0,0.0
unstructured,6400,44.25,0.0,0.0,95.40189873417725,1.4453792906454277e-14,1.0344446730727602e-14,3.0,0.0,0.0,33.0,0.0,0.0,8.25,0.0,0.0
unstructured,14400,44.25,0.0,0.0,95.17436974789915,0.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,8.25,0.0,0.0
unstructured,25600,44.25,0.0,0.0,95.25,0.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,8.25,0.0,0.0
unstructured,57600,45.5,0.0,0.0,96.47489539748953,4.336137871936283e-14,5.172223365363801e-15,3.0,0.0,0.0,34.0,0.0,0.0,8.5,0.0,0.0
unstructured,102400,45.5,0.0,0.0,96.5752351097179,2.890758581290855e-14,1.0344446730727602e-14,3.0,0.0,0.0,34.0,0.0,0.0,8.5,0.0,0.0
